date,runoff,soilstore,snowpack,meltwater,T,P,PET
1993-06-07,1.67821905967617,524.3625392637841,0.0,0.0,7.096544909216334,0.0,2.031439158379253
1993-06-08,1.5612865129016782,522.461424730982,0.0,0.0,10.82102294157363,0.0,2.661610580203561
1993-06-09,1.4524497027146446,520.0303762141359,0.0,0.0,15.271755602997588,0.0,3.4159168155441053
1993-06-10,1.4139615460630226,518.2640163929357,0.0,0.0,16.863105085471716,2.846248142997727,3.6895405174572136
1993-06-11,1.48724267874399,517.5126427717544,0.0,0.0,12.482724852715478,4.441571681863944,2.9542869561862424
1993-06-12,1.7149641431578475,518.7555234746984,0.0,0.0,9.43873395291331,9.82903771264978,2.442836618728186
1993-06-13,1.8508925923782893,517.4690471466863,0.0,0.0,5.749325484809049,0.0,1.8205682132991756
1993-06-14,1.7227054271762774,515.7157502367409,0.0,0.0,9.672836636637044,0.0,2.487361915990532
1993-06-15,1.6128965597962766,513.5017101187768,0.0,0.0,14.720309424957918,0.4484963750471299,3.345619415415508
1993-06-16,1.7189347352803797,514.3382604217849,0.0,0.0,12.460341415209484,9.478866303272955,2.964095858444527
1993-06-17,1.862783370658294,512.3717588921647,0.0,0.0,13.783709550403556,0.8788820730561965,3.1903358200279794
1993-06-18,1.7565990548527142,509.7878027721333,0.0,0.0,16.790060342398874,0.0,3.702267891660816
1993-06-19,1.6376043210750613,507.4644057217155,0.0,0.0,15.025312990456882,0.1276533597134444,3.40315686197125
1993-06-20,1.5273018387230688,505.20460766133095,0.0,0.0,14.235218978684486,0.0,3.269128082399956
1993-06-21,1.4213611214116315,502.8366568295368,0.0,0.0,15.247313063803231,0.0,3.440909639974276
1993-06-22,1.3277457955490382,501.3518001580072,0.0,0.0,8.409371777855768,0.2351100163103453,2.278370309172882
1993-06-23,1.2575345466333383,500.4011153923649,0.0,0.0,5.30440419285992,0.754109140258252,1.750200232630871
1993-06-24,1.208820819636382,499.5309429819968,0.0,0.0,5.126300397052319,0.9262261801246384,1.7191097598427822
1993-06-25,1.209469536975731,499.2917297793227,0.0,0.0,5.274325012549866,2.897079894588408,1.743143087530176
1993-06-26,1.4904614063919186,502.8764909709645,0.0,0.0,3.1424059968729807,13.819191666051704,1.380379286435147
1993-06-27,1.8372716676678096,503.6057685922136,0.0,0.0,2.331523619555753,4.899895445670599,1.2417806092950745
1993-06-28,2.0007455658610813,505.2401573478185,0.0,0.0,2.539558444256727,7.807769700848018,1.2756764095779607
1993-06-29,2.059592164030128,503.8599782843088,0.0,0.0,6.866642231322942,0.0,2.005420563128774
1993-06-30,1.917567752831728,501.9148668222872,0.0,0.0,11.792017344780504,0.0,2.8340174485894845
1993-07-01,1.7851050444972094,499.53775113196167,0.0,0.0,15.631340421205891,0.0,3.476867570354909
1993-07-02,1.6628937900850742,496.6296074156545,0.0,0.0,20.55204043010832,0.053014378242841,4.2991873636490405
1993-07-03,1.5836262677145785,494.50967843371046,0.0,0.0,18.39177271794,1.6306227000624416,3.9288280447861217
1993-07-04,1.521498947903796,491.8371775965824,0.0,0.0,19.61815867176165,0.3230166156104791,4.126991332343241
1993-07-05,1.4448791658419446,489.41600374862185,0.0,0.0,19.551999128859165,0.9831647888239724,4.107541360664765
1993-07-06,1.3928761776691228,487.3524051710912,0.0,0.0,17.026566064754775,1.140672065211369,3.677036553244383
1993-07-07,1.3245749407862053,484.8576417143133,0.0,0.0,17.563578937410114,0.0,3.757977283691253
1993-07-08,1.2330560906999937,482.2299980665586,0.0,0.0,18.946388204216877,0.0,3.9785068751186943
1993-07-09,1.1669052861677291,479.8442989007856,0.0,0.0,16.916764372418527,0.0,3.631862065110331
1993-07-10,1.1384635634165976,477.89445107357375,0.0,0.0,13.05110142015542,0.0,2.9831031450760976
1993-07-11,1.1241492931106607,475.7282015929295,0.0,0.0,15.194325759334449,0.0,3.3277015890859185
1993-07-12,1.1100220052836156,473.3444912914488,0.0,0.0,17.390214442855438,0.0,3.678429748156608
1993-07-13,1.0960640359227778,470.9103794812021,0.0,0.0,18.051489458065987,0.0,3.77512282990434
1993-07-14,1.0822736676333486,468.6602500644856,0.0,0.0,16.49010467421533,0.0,3.5078185854723056
1993-07-15,1.0686491880296598,466.4258042163591,0.0,0.0,16.516714948790252,0.0,3.5000931645366884
1993-07-16,1.055188890304013,464.1635397114129,0.0,0.0,16.967546655708247,0.0,3.5606452179764
1993-07-17,1.0418910737647291,461.8941766972245,0.0,0.0,17.226537511051106,0.0,3.589226284289885
1993-07-18,1.028754044344674,459.6787433432679,0.0,0.0,16.889452989047413,0.0,3.5211464892951936
1993-07-19,1.0157761150814757,457.6708375261241,0.0,0.0,15.014709641422144,0.0,3.206688740787392
1993-07-20,1.002955606570607,455.6450120343508,0.0,0.0,15.36633038002418,0.0,3.249501050824994
1993-07-21,0.9902908473924548,453.60834332934814,0.0,0.0,15.654916622392932,0.0,3.281418786497795
1993-07-22,0.9777801745144692,451.6803826126617,0.0,0.0,14.727620575828212,0.0,3.12021871193638
1993-07-23,0.9654219336694148,449.77205019395,0.0,0.0,14.700197717045512,0.0,3.101635007587128
1993-07-24,0.9532144797107472,447.6132637844756,0.0,0.0,17.486285261274702,0.0,3.523587833515711
1993-07-25,0.941678331153859,445.460704472676,0.0,0.0,18.256499783543063,0.1475376365584662,3.626572503978416
1993-07-26,0.9353456379050892,443.8545386034273,0.0,0.0,18.061876602756342,1.4107075135105849,3.578231697093521
1993-07-27,0.9293721896942092,441.7080472460093,0.0,0.0,17.999784037755433,0.0,3.550229018541109
1993-07-28,0.9176053514495944,439.5166223668711,0.0,0.0,18.72088857186077,0.0,3.6421612269367976
1993-07-29,0.9059763847064122,437.4512197900444,0.0,0.0,17.591074079827877,0.0,3.449826868461001
1993-07-30,0.8944904868963551,435.534261152418,0.0,0.0,16.184683343192432,0.0,3.216999553971085
1993-07-31,0.8831460599262013,433.71957169495295,0.0,0.0,15.258816848615652,0.0,3.058777467085291
1993-08-01,0.8719415172723267,431.5783378406165,0.0,0.0,19.14618029058317,0.0,3.624290255659647
1993-08-02,0.8612898118266211,429.3375123856317,0.0,0.0,21.130140424496744,0.1216163613036146,3.898456694529038
1993-08-03,0.8508447233928669,427.641487006629,0.0,0.0,14.558634465926332,0.0,2.900022727062198
1993-08-04,0.8400394283674915,425.7692117000177,0.0,0.0,16.8146269927895,0.0,3.2140880403781984
